ID2,Latitude,Longitude,Elevation,Slope,Aspect,TopographicWetnessIndex,RelativeSlopePosition,AnnualGlobalSolarRadiation,DepthFewRoots,DepthNoRoots,RelativeYieldCV,RelativeYieldMean,HasSoilDescription
31,46.77902300102438,-117.08346599999722,795.9365,5.259379,190.861877,4.921764,0.45314399999999994,1828.2016600000002,88.0,153.0,0.18975935174171146,0.9729303247726491,1
53,46.779246001024674,-117.08413800000488,795.17926,3.703589,337.53649900000005,4.919003,0.425303,1667.2182619999999,84.0,122.0,0.23995310260875335,1.1028370581450115,1
57,46.779336001025655,-117.08246600000184,797.64254,2.059679,46.735123,5.060669,0.511169,1708.1180420000003,114.0,153.0,0.15782810075079368,0.972539128334822,1
75,46.77964200101921,-117.08530500000029,790.4030799999999,4.633317,4.009709,5.954749,0.27620100000000003,1642.137695,72.0,153.0,0.1422505470275202,1.0782675045528598,1
83,46.77942400102188,-117.08196100000332,795.4189299999999,5.018587999999999,130.582291,5.286548000000001,0.445111,1792.4114989999998,116.0,153.0,0.2232262365615782,0.928236834273128,1
91,46.77955200102493,-117.07861699999759,800.72532,5.020853,222.61840800000002,8.204573,0.611827,1800.6503910000001,86.0,153.0,0.2358193013510123,1.1702851034457342,1
101,46.77981000102528,-117.08557300000021,790.1041700000001,2.804949,44.562560999999995,7.772982000000001,0.27511399999999997,1695.519043,103.0,132.0,0.15740668634812066,1.1367800931072622,1
117,46.77982600101971,-117.07888500000614,803.5835400000001,6.239196,204.611389,6.435161,0.700036,1835.636719,118.0,153.0,0.14833072799280647,1.0913049173297629,1
127,46.7800888163282,-117.08559327501236,789.09303,3.0966240000000003,61.431042000000005,6.082421,0.244637,1704.9465329999998,50.0,153.0,0.18933250737069332,1.0912314643681944,1
143,46.78010382020986,-117.0789030981318,806.5341,7.573207000000001,190.367371,5.664093,0.793089,1865.304443,42.0,101.0,0.16475215354313608,0.8700925993186169,1
169,46.78041000102136,-117.07874299999949,811.19077,7.736955,191.264236,4.831871,0.9323809999999999,1867.716675,56.0,153.0,0.28093086279991675,0.9321237349992176,1
191,46.780828001023636,-117.08019099999795,804.97005,10.335416,302.621887,5.206304,0.746207,1605.48352,55.0,129.0,0.16898414987338178,1.0677050856867347,1
195,46.78069600102212,-117.0785189999963,812.92161,5.181764,359.447174,4.2554989999999995,0.9835649999999999,1631.533691,92.0,114.0,0.17376351846952462,0.9631639796796628,1
205,46.7810090010245,-117.08456999999642,782.32847,4.4728639999999995,211.76664700000003,7.301276,0.022363,1802.840576,84.0,84.0,0.3142226421997628,1.0737363113047655,1
219,46.7809820010181,-117.0787179999958,809.46387,5.858256,18.890196,5.582726,0.8789459999999999,1622.6464839999999,44.0,153.0,0.15544577292833667,1.1319989524325018,1
221,46.780924001018654,-117.0778820000033,807.66333,8.08804,7.395364999999999,5.455618,0.8215129999999999,1567.7851560000001,28.0,153.0,0.13058883082261474,1.1301129923215474,1
229,46.78120600102214,-117.08462300000416,784.7869599999999,9.123053,185.766907,6.141471,0.10956400000000001,1888.1853030000002,24.0,153.0,0.2119979670533735,1.0192177657765742,1
233,46.78123200102087,-117.08295099999987,790.82853,5.830966,211.90635699999999,4.75812,0.30282800000000004,1822.144287,100.0,100.0,0.19339788240579872,1.0133444449329223,1
243,46.78125600101886,-117.07877100000488,806.91598,5.956637000000001,26.893760999999998,5.923030000000001,0.801506,1626.6401369999999,85.0,128.0,0.1906432516806576,1.1583077724434756,1
251,46.781492001022634,-117.08502800000612,789.89681,4.234494000000001,213.736206,4.46216,0.28073400000000004,1798.691773,35.0,69.0,0.3855869202550611,0.7295749388297035,1
257,46.781624001021655,-117.08252000000222,795.5946299999999,5.034527,202.604324,5.470675,0.45376000000000005,1818.830811,60.0,95.0,0.1998913497410561,0.965818268492414,1
263,46.78165700102323,-117.080012000003,803.4617900000001,2.467121,286.876099,5.302449,0.6970029999999999,1721.3969730000001,18.0,125.0,0.18252801821623985,0.9487271780923094,1
267,46.78155900101915,-117.07833999999839,800.08599,6.778948,106.14418799999999,6.354430000000001,0.593722,1761.358154,71.0,153.0,0.1808560269524196,1.1409315399499302,1
275,46.78187778025212,-117.08435696899471,790.41791,4.997955,336.496918,5.313198000000001,0.29431399999999996,1642.067017,24.0,153.0,0.09718585969728004,1.299363610687559,1
287,46.781907001026255,-117.07931999999651,801.2015,5.823678,12.012227000000001,6.145649,0.627817,1619.321167,60.0,99.0,0.17361001083849611,1.168134507613477,1
289,46.781840001022864,-117.07848400000653,799.96116,7.912522,25.414276,5.085548,0.590106,1584.8596189999998,44.0,112.0,0.3318710237293961,1.0194251819096158,1
300,46.78215300102395,-117.08428200000486,788.11355,5.6234459999999995,309.714264,6.260431,0.22561399999999998,1659.307617,,,0.12097812148903145,1.171458670649086,1
306,46.78199800102457,-117.0817740000042,799.96649,2.90158,245.02507000000003,5.493647,0.5889300000000001,1757.7794190000002,,,0.2338678638711715,1.0977985080545516,1
308,46.78213900102032,-117.08093800000442,801.99083,1.571261,353.974335,5.126271,0.651381,1705.9431149999998,,,0.21308361560194786,1.0400273241049474,1
